time,requestor,role,component,request_type,violation_type,score
2016-08-10 01:41:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 01:55:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 02:10:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-10 02:24:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 02:39:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 02:53:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-10 03:07:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 03:22:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-10 03:36:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 03:51:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 04:05:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 04:19:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-10 04:34:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 04:48:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 05:03:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 05:17:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-10 05:31:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 05:46:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 06:00:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 06:15:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 06:29:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-10 06:43:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 06:58:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 07:12:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 07:27:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-10 07:41:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 07:55:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 08:10:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 08:24:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-10 08:39:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 08:53:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 09:07:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 09:22:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-10 09:36:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-10 09:51:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 10:05:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 10:19:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 10:34:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-10 10:48:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 11:03:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 11:17:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-10 11:31:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-10 11:46:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 12:00:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 12:15:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 12:29:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 12:43:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-11 12:58:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 01:12:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 01:27:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 01:41:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-11 01:55:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 02:10:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 02:24:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 02:39:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-11 02:53:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 03:07:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 03:22:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 03:36:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 03:51:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-11 04:05:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 04:19:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 04:34:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 04:48:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-11 05:03:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 05:17:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 05:31:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 05:46:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-11 06:00:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 06:15:00,User B,Business user,Table 1,Select,No authorization,TRUE
2016-08-11 06:29:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 06:43:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 06:58:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-11 07:12:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-11 07:27:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-11 07:41:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 07:55:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 08:10:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 08:24:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 08:39:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-11 08:53:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-11 09:07:00,User C,Administrator,Element 3,Select,No authorization,FALSE
2016-08-11 09:22:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 09:36:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 09:51:00,User B,Business user,Table 1,Select,No authorization,TRUE
2016-08-11 10:05:00,User B,Business user,Table 1,Select,No authorization,TRUE
2016-08-11 10:19:00,User B,Business user,Table 1,Select,No authorization,TRUE
2016-08-11 10:34:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 10:48:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 11:03:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-11 11:17:00,User A,Analyst,Element 2,Select,No authorization,TRUE
2016-08-11 11:31:00,User A,Analyst,Element 2,Select,No authorization,TRUE
2016-08-11 11:46:00,User A,Analyst,Element 2,Select,No authorization,TRUE
2016-08-11 12:00:00,User A,Analyst,Element 3,Append,No authorization,TRUE
2016-08-11 12:15:00,User A,Analyst,Element 1,Select,No authorization,FALSE
2016-08-11 12:29:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 12:43:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 12:58:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 01:12:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-11 01:27:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-11 01:41:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 01:55:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 02:10:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-11 02:24:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-11 02:39:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 02:53:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 03:07:00,User C,Administrator,Element 2,Select,No authorization,FALSE
2016-08-11 03:22:00,User C,Administrator,Element 2,Select,No authorization,FALSE
2016-08-11 03:07:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-11 03:22:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 03:36:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 03:51:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-11 04:05:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 04:19:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-11 04:34:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 04:48:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 05:03:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 05:17:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-11 05:31:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 05:46:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 06:00:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 06:15:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-11 06:29:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 06:43:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 06:58:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-11 07:12:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 07:27:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-11 07:41:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 07:55:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 08:10:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 08:24:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-11 08:39:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 08:53:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 09:07:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 09:22:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-11 09:36:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 09:51:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 10:05:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 10:19:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-11 10:34:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-11 10:48:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 11:03:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 11:17:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-11 11:31:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-11 11:46:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 12:00:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 12:15:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 12:29:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-12 12:43:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 12:58:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 01:12:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 01:27:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 01:41:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-12 01:55:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 02:10:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 02:24:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 02:39:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-12 02:53:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 03:07:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 03:22:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 03:36:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-12 03:51:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 04:05:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 04:19:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 04:34:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 04:48:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-12 05:03:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 05:17:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 05:31:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 05:46:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-12 06:00:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 06:15:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 06:29:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 06:43:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-12 06:58:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 07:12:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 07:27:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 07:41:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 07:55:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-12 08:10:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 08:24:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 08:39:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 08:53:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-12 09:07:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 09:22:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 09:36:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 09:51:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-12 10:05:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 10:19:00,User B,Business user,Table 1,Select,No authorization,TRUE
2016-08-12 10:34:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 10:48:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 11:03:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-12 11:17:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-12 11:31:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-12 11:46:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 12:00:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 12:15:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 12:29:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 12:43:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-12 12:58:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-12 01:12:00,User C,Administrator,Element 3,Select,No authorization,FALSE
2016-08-12 01:27:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 01:41:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 01:55:00,User B,Business user,Table 1,Select,No authorization,TRUE
2016-08-12 02:10:00,User B,Business user,Table 1,Select,No authorization,TRUE
2016-08-12 02:24:00,User B,Business user,Table 1,Select,No authorization,TRUE
2016-08-12 02:39:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 02:53:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 03:07:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-12 03:22:00,User A,Analyst,Element 2,Select,No authorization,TRUE
2016-08-12 03:36:00,User A,Analyst,Element 2,Select,No authorization,TRUE
2016-08-12 03:51:00,User A,Analyst,Element 2,Select,No authorization,TRUE
2016-08-12 04:05:00,User A,Analyst,Element 3,Append,No authorization,TRUE
2016-08-12 04:19:00,User A,Analyst,Element 1,Select,No authorization,FALSE
2016-08-12 04:34:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 04:48:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 05:03:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 05:17:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-12 05:31:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-12 05:46:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 06:00:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 06:15:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-12 06:29:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-12 06:43:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 06:58:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 07:12:00,User C,Administrator,Element 2,Select,No authorization,FALSE
2016-08-12 07:27:00,User C,Administrator,Element 2,Select,No authorization,FALSE
2016-08-12 07:12:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-12 07:27:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 07:41:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 07:55:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-12 08:10:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 08:24:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-12 08:39:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 08:53:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 09:07:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 09:22:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-12 09:36:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 09:51:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 10:05:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 10:19:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-12 10:34:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-12 10:48:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 11:03:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-12 11:17:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-12 11:31:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-12 11:46:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 12:00:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 12:15:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 12:29:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-13 12:43:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 12:58:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 01:12:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 01:27:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-13 01:41:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 01:55:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 02:10:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 02:24:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 02:39:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-13 02:53:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 03:07:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 03:22:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 03:36:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-13 03:51:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 04:05:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 04:19:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 04:34:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-13 04:48:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 05:03:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 05:17:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 05:31:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 05:46:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-13 06:00:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 06:15:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 06:29:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 06:43:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-13 06:58:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 07:12:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 07:27:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 07:41:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-13 07:55:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 08:10:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 08:24:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 08:39:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 08:53:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-13 09:07:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 09:22:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 09:36:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 09:51:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-13 10:05:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 10:19:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 10:34:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 10:48:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-13 11:03:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 11:17:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 11:31:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 11:46:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 12:00:00,User B,Business user,Element 1,Select,No authorization,TRUE
2016-08-13 12:15:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 12:29:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 12:43:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 12:58:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-13 01:12:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 01:27:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 01:41:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 01:55:00,User A,Analyst,Table 1,Append,No authorization,FALSE
2016-08-13 02:10:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 02:24:00,User B,Business user,Table 1,Select,No authorization,TRUE
2016-08-13 02:39:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 02:53:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 03:07:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-13 03:22:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-13 03:36:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-13 03:51:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 04:05:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 04:19:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 04:34:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 04:48:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-13 05:03:00,User C,Administrator,Element 1,Select,No authorization,FALSE
2016-08-13 05:17:00,User C,Administrator,Element 3,Select,No authorization,FALSE
2016-08-13 05:31:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 05:46:00,User A,Analyst,Table 1,Select,No authorization,FALSE
2016-08-13 06:00:00,User B,Business user,Table 1,Select,No authorization,TRUE
2016-08-13 06:15:00,User B,Business user,Table 1,Select,No authorization,TRUE
2016-08-13 06:29:00,User B,Business user,Table 1,Select,No authorization,TRUE
2016-08-13 06:43:00,User B,Business user,Table 2,Select,No authorization,FALSE
2016-08-13 06:58:00,User B,Business user,Table 2,Select,No authorization,FALSE
